position_pair,score,uncertainty,source
FF,-0.061129927,0.084438328,original_data
DF,-0.206110892,0.013396636,original_data
DD,-0.207748777,0.085836017,original_data
SF,-0.273638392,0.017862703,original_data
SS,-0.313657352,0.088189736,original_data
FD,-0.327866109,0.038450399,original_data
AF,-0.337438443,0.02233589,original_data
ER,-0.341498681,0.029193047,original_data
SD,-0.343463312,0.022327735,original_data
AD,-0.380554638,0.026960678,original_data
FS,-0.396212524,0.040224649,original_data
AS,-0.40537397,0.032055516,original_data
EE,-0.409174256,0.087793303,original_data
FA,-0.451147901,0.042417895,original_data
DS,-0.454445618,0.04240931,original_data
RR,-0.460931608,0.087825664,original_data
RE,-0.480001377,0.045835368,original_data
AA,-0.486375452,0.091240729,original_data
EF,-0.490482538,0.0742246,original_data
DA,-0.521062525,0.044926143,original_data
VV,-0.535278562,0.091925765,original_data
WE,-0.543072413,0.028942519,original_data
WW,-0.579716414,0.089983363,original_data
SA,-0.583996861,0.047741329,original_data
WR,-0.586576629,0.026701601,original_data
WF,-0.593652631,0.050974803,original_data
DV,-0.596418016,0.072615153,original_data
FE,-0.605585862,0.082524028,original_data
SE,-0.626041349,0.087891716,original_data
AR,-0.635980216,0.051971356,original_data
WD,-0.641962332,0.076332091,original_data
DR,-0.645896097,0.086092937,original_data
ED,-0.647976428,0.128155566,original_data
VF,-0.672153196,0.118293831,original_data
FV,-0.672155499,0.118293831,original_data
FR,-0.677292027,0.127122921,original_data
DE,-0.683218,0.12795321,original_data
EW,-0.685957473,0.046139802,original_data
RF,-0.693101884,0.127111309,original_data
SV,-0.699429899,0.052081728,original_data
SR,-0.70277007,0.055603307,original_data
RW,-0.709705536,0.044854066,original_data
ES,-0.712008205,0.095317472,original_data
FW,-0.715328818,0.062429114,original_data
QF,-0.716927605,0.04976408,original_data
VD,-0.719612453,0.081067257,original_data
AV,-0.72576724,0.051105078,original_data
QE,-0.726831953,0.033342665,original_data
QR,-0.741484432,0.032901308,original_data
CV,-0.751147513,0.039557289,original_data
AE,-0.756338705,0.058542164,original_data
RD,-0.758375744,0.093342674,original_data
DW,-0.763113967,0.084413006,original_data
ZF,-0.770100287,0.05399796,original_data
RS,-0.790199862,0.066341104,original_data
RA,-0.791550686,0.062884228,original_data
QW,-0.795617785,0.037026569,original_data
ZV,-0.805279843,0.042666899,original_data
SC,-0.805570379,0.07521274,original_data
QD,-0.814801302,0.055322893,original_data
CF,-0.815792078,0.09681141,original_data
EA,-0.81884442,0.068975514,original_data
XV,-0.819779583,0.041283975,original_data
VS,-0.821043681,0.063336168,original_data
CC,-0.832472382,0.094570523,original_data
XF,-0.836557121,0.060787993,original_data
