key_pair,engram6_columns,engram6_curl,engram6_order,engram6_rows,engram6_strength,engram6_stretch
'',0,0,0,1,0,0
"',",1,0,0.5,0.5,0.5,0.5
'.,0.5,0,0.5,0.5,0,0.5
'/,0,0.25,0,0.5,0,0.5
';,0,0.5,0,1,0,0.5
'A,1,0.5,1,1,0,0.5
'B,1,0,1,1,0.5,0
'C,1,0,1,1,0.5,0.5
'D,1,0.5,1,1,0.5,0.5
'E,1,0.25,1,1,0.5,0.5
'F,1,0.5,1,1,0.5,0.5
'G,1,0,1,1,0.5,0
'H,0.5,0,1,1,0.5,0
'I,1,0.25,0.5,0.5,0.5,0.5
'J,0.5,0.5,1,1,0.5,0.5
'K,0.5,0.5,1,1,0.5,0.5
'L,0.5,0.5,1,1,0,0.5
'M,1,0.25,0.5,0.5,0.5,0.5
'N,1,0,0.5,0.5,0.5,0
'O,0.5,0,0.5,0.5,0,0.5
'P,0,0,0,0.5,0,0.5
'Q,1,0,1,1,0,0.5
'R,1,0,1,1,0.5,0.5
'S,1,0.5,1,1,0,0.5
'T,1,0,1,1,0.5,0
'U,1,0,0.5,0.5,0.5,0.5
'V,1,0.25,1,1,0.5,0.5
'W,1,0,1,1,0,0.5
'X,1,0,1,1,0,0.5
'Y,1,0,0.5,0.5,0.5,0
'Z,1,0.25,1,1,0,0.5
'[,0,0,0,0.5,0,0
",'",1,0,0.5,0.5,0.5,0.5
",,",0,0,0,1,1,1
",.",1,0,0.5,1,0.5,1
",/",0.5,0.25,0.5,1,0.5,1
",;",1,0.5,0.5,0.5,0.5,1
",A",1,0.5,1,1,0.5,1
",B",1,0,1,1,1,0.5
",C",1,0,1,1,1,1
",D",1,0.5,1,1,1,1
",E",1,0.25,1,1,1,1
",F",1,0.5,1,1,1,1
",G",1,0,1,1,1,0.5
",H",0.5,0,0.5,0.5,1,0.5
",I",0,0.25,0,0,1,1
",J",0.5,0.5,0.5,0.5,1,1
",K",0,0.5,0,0.5,1,1
",L",0.5,0.5,0.5,0.5,0.5,1
",M",1,0.25,1,1,1,1
",N",0.5,0,1,1,1,0.5
",O",0.5,0,0.5,0,0.5,1
",P",1,0,0.5,0,0.5,1
",Q",1,0,1,1,0.5,1
",R",1,0,1,1,1,1
",S",1,0.5,1,1,0.5,1
",T",1,0,1,1,1,0.5
",U",0.5,0,0.5,0,1,1
",V",1,0.25,1,1,1,1
",W",1,0,1,1,0.5,1
",X",1,0,1,1,0.5,1
",Y",0.5,0,0.5,0,1,0.5
",Z",1,0.25,1,1,0.5,1
",[",1,0,0.5,0,0.5,0.5
.',0.5,0,0.5,0.5,0,0.5
".,",1,0,1,1,0.5,1
..,0,0,0,1,0,1
./,1,0.25,0.5,1,0,1
.;,0.5,0.5,0.5,0.5,0,1
.A,1,0.5,1,1,0,1
.B,1,0,1,1,0.5,0.5
.C,1,0,1,1,0.5,1
.D,1,0.5,1,1,0.5,1
.E,1,0.25,1,1,0.5,1
.F,1,0.5,1,1,0.5,1
.G,1,0,1,1,0.5,0.5
.H,1,0,0.5,0.5,0.5,0.5
.I,0.5,0.25,0.5,0,0.5,1
.J,1,0.5,0.5,0.5,0.5,1
.K,0.5,0.5,0.5,0.5,0.5,1
.L,0,0.5,0,0.5,0,1
.M,0.5,0.25,1,1,0.5,1
.N,0.5,0,1,1,0.5,0.5
.O,0,0,0,0,0,1
.P,0.5,0,0.5,0,0,1
.Q,1,0,1,1,0,1
.R,1,0,1,1,0.5,1
.S,1,0.5,1,1,0,1
.T,1,0,1,1,0.5,0.5
.U,1,0,0.5,0,0.5,1
.V,1,0.25,1,1,0.5,1
.W,1,0,1,1,0,1
.X,1,0,1,1,0,1
.Y,1,0,0.5,0,0.5,0.5
.Z,1,0.25,1,1,0,1
.[,0.5,0,0.5,0,0,0.5
/',0,0.25,0,0.5,0,0.5
"/,",0.5,0.25,1,1,0.5,1
/.,1,0.25,1,1,0,1
//,0,0.25,0,1,0,1
/;,0,0.75,0,0.5,0,1
/A,1,0.75,1,1,0,1
/B,1,0.25,1,1,0.5,0.5
/C,1,0.25,1,1,0.5,1
/D,1,0.75,1,1,0.5,1
/E,1,0.25,1,1,0.5,1
/F,1,0.75,1,1,0.5,1
/G,1,0.25,1,1,0.5,0.5
/H,1,0.25,0.5,0.5,0.5,0.5
/I,1,0.25,0.5,0,0.5,1
/J,1,0.75,0.5,0.5,0.5,1
/K,1,0.75,0.5,0.5,0.5,1
/L,0.5,0.75,0.5,0.5,0,1
/M,0.5,0.25,1,1,0.5,1
/N,0.5,0.25,1,1,0.5,0.5
/O,0.5,0.25,0.5,0,0,1
/P,0,0.25,0,0,0,1
/Q,1,0.25,1,1,0,1
/R,1,0.25,1,1,0.5,1
/S,1,0.75,1,1,0,1
/T,1,0.25,1,1,0.5,0.5
/U,1,0.25,0.5,0,0.5,1
/V,1,0.25,1,1,0.5,1
/W,1,0.25,1,1,0,1
/X,1,0.25,1,1,0,1
/Y,1,0.25,0.5,0,0.5,0.5
/Z,1,0.25,1,1,0,1
/[,0,0.25,0,0,0,0.5
;',0,0.5,0,1,0,0.5
";,",1,0.5,0.5,0.5,0.5,1
;.,0.5,0.5,0.5,0.5,0,1
;/,0,0.25,0,0.5,0,1
;;,0,1,0,1,0,1
;A,1,1,1,1,0,1
;B,1,0.5,1,1,0.5,0.5
;C,1,0.5,1,1,0.5,1
;D,1,1,1,1,0.5,1
;E,1,0.25,1,1,0.5,1
;F,1,1,1,1,0.5,1
;G,1,0.5,1,1,0.5,0.5
;H,0.5,0.5,1,1,0.5,0.5
;I,1,0.25,0.5,0.5,0.5,1
;J,0.5,1,1,1,0.5,1
;K,0.5,1,1,1,0.5,1
;L,1,1,1,1,0,1
;M,1,0.25,0.5,0.5,0.5,1
;N,1,0.5,0.5,0.5,0.5,0.5
;O,0.5,0.5,0.5,0.5,0,1
;P,0,0.5,0,0.5,0,1
;Q,1,0.5,1,1,0,1
;R,1,0.5,1,1,0.5,1
;S,1,1,1,1,0,1
;T,1,0.5,1,1,0.5,0.5
;U,1,0.5,0.5,0.5,0.5,1
;V,1,0.25,1,1,0.5,1
;W,1,0.5,1,1,0,1
;X,1,0.5,1,1,0,1
;Y,1,0.5,0.5,0.5,0.5,0.5
;Z,1,0.25,1,1,0,1
;[,0,0.5,0,0.5,0,0.5
A',1,0.5,1,1,0,0.5
"A,",1,0.5,1,1,0.5,1
A.,1,0.5,1,1,0,1
A/,1,0.25,1,1,0,1
A;,1,1,1,1,0,1
AA,0,1,0,1,0,1
