position_pair,engram_avg4_score,engram_key_preference,engram_outside,engram_row_separation,engram_same_finger,engram_same_row
'',0.429,0,0.716,1,0,0
"',",0.7335,0.205,0.846,0.588,1,0.5
'.,0.7335,0.0685,0.846,0.588,1,0.5
'/,0.3585,0.0685,0.846,0.588,0,0
';,0.4615,0.205,0.846,1,0,0
'A,0.9615,0.205,0.846,1,1,1
'B,0.929,0,0.716,1,1,1
'C,0.9615,0.205,0.846,1,1,1
'D,0.9615,0.435,0.846,1,1,1
'E,0.9615,0.323,0.846,1,1,1
'F,0.9615,0.5,0.846,1,1,1
'G,0.929,0,0.716,1,1,1
'H,0.8665,0,0.716,1,1,0.75
'I,0.7335,0.323,0.846,0.588,1,0.5
'J,0.899,0.5,0.846,1,1,0.75
'K,0.899,0.435,0.846,1,1,0.75
'L,0.899,0.323,0.846,1,1,0.75
'M,0.7335,0.284,0.846,0.588,1,0.5
'N,0.701,0,0.716,0.588,1,0.5
'O,0.7335,0.236,0.846,0.588,1,0.5
'P,0.3585,0.0685,0.846,0.588,0,0
'Q,0.9615,0.0685,0.846,1,1,1
'R,0.9615,0.284,0.846,1,1,1
'S,0.9615,0.323,0.846,1,1,1
'T,0.929,0,0.716,1,1,1
'U,0.7335,0.284,0.846,0.588,1,0.5
'V,0.9615,0.284,0.846,1,1,1
'W,0.9615,0.236,0.846,1,1,1
'X,0.9615,0.0685,0.846,1,1,1
'Y,0.701,0,0.716,0.588,1,0.5
'Z,0.9615,0.0685,0.846,1,1,1
'[,0.326,0,0.716,0.588,0,0
",'",0.7335,0.205,0.846,0.588,1,0.5
",,",0.5,0.41,1,1,0,0
",.",0.94475,0.2735,1,1,1,0.779
",/",0.896062,0.2735,1,1,1,0.58425
",;",0.772,0.41,1,0.588,1,0.5
",A",1,0.41,1,1,1,1
",B",0.9615,0.205,0.846,1,1,1
",C",1,0.41,1,1,1,1
",D",1,0.64,1,1,1,1
",E",1,0.528,1,1,1,1
",F",1,0.705,1,1,1,1
",G",0.9615,0.205,0.846,1,1,1
",H",0.7335,0.205,0.846,0.588,1,0.5
",I",0.25,0.528,1,0,0,0
",J",0.772,0.705,1,0.588,1,0.5
",K",0.397,0.64,1,0.588,0,0
",L",0.772,0.528,1,0.588,1,0.5
",M",1,0.489,1,1,1,1
",N",0.899,0.205,0.846,1,1,0.75
",O",0.625,0.441,1,0,1,0.5
",P",0.625,0.2735,1,0,1,0.5
",Q",1,0.2735,1,1,1,1
",R",1,0.489,1,1,1,1
",S",1,0.528,1,1,1,1
",T",0.9615,0.205,0.846,1,1,1
",U",0.625,0.489,1,0,1,0.5
",V",1,0.489,1,1,1,1
",W",1,0.441,1,1,1,1
",X",1,0.2735,1,1,1,1
",Y",0.5865,0.205,0.846,0,1,0.5
",Z",1,0.2735,1,1,1,1
",[",0.5865,0.205,0.846,0,1,0.5
.',0.7335,0.0685,0.846,0.588,1,0.5
".,",1,0.2735,1,1,1,1
..,0.5,0.137,1,1,0,0
./,0.94475,0.137,1,1,1,0.779
.;,0.772,0.2735,1,0.588,1,0.5
.A,1,0.2735,1,1,1,1
.B,0.9615,0.0685,0.846,1,1,1
.C,1,0.2735,1,1,1,1
.D,1,0.5035,1,1,1,1
.E,1,0.3915,1,1,1,1
.F,1,0.5685,1,1,1,1
.G,0.9615,0.0685,0.846,1,1,1
.H,0.7335,0.0685,0.846,0.588,1,0.5
.I,0.625,0.3915,1,0,1,0.5
.J,0.772,0.5685,1,0.588,1,0.5
.K,0.772,0.5035,1,0.588,1,0.5
.L,0.397,0.3915,1,0.588,0,0
.M,0.9375,0.3525,1,1,1,0.75
.N,0.899,0.0685,0.846,1,1,0.75
.O,0.25,0.3045,1,0,0,0
.P,0.625,0.137,1,0,1,0.5
.Q,1,0.137,1,1,1,1
.R,1,0.3525,1,1,1,1
.S,1,0.3915,1,1,1,1
.T,0.9615,0.0685,0.846,1,1,1
.U,0.625,0.3525,1,0,1,0.5
.V,1,0.3525,1,1,1,1
.W,1,0.3045,1,1,1,1
.X,1,0.137,1,1,1,1
.Y,0.5865,0.0685,0.846,0,1,0.5
.Z,1,0.137,1,1,1,1
.[,0.5865,0.0685,0.846,0,1,0.5
/',0.3585,0.0685,0.846,0.588,0,0
"/,",0.9375,0.2735,1,1,1,0.75
/.,1,0.137,1,1,1,1
//,0.5,0.137,1,1,0,0
/;,0.397,0.2735,1,0.588,0,0
/A,1,0.2735,1,1,1,1
/B,0.9615,0.0685,0.846,1,1,1
/C,1,0.2735,1,1,1,1
/D,1,0.5035,1,1,1,1
/E,1,0.3915,1,1,1,1
/F,1,0.5685,1,1,1,1
/G,0.9615,0.0685,0.846,1,1,1
/H,0.7335,0.0685,0.846,0.588,1,0.5
/I,0.625,0.3915,1,0,1,0.5
/J,0.772,0.5685,1,0.588,1,0.5
/K,0.772,0.5035,1,0.588,1,0.5
/L,0.772,0.3915,1,0.588,1,0.5
/M,0.9375,0.3525,1,1,1,0.75
/N,0.899,0.0685,0.846,1,1,0.75
/O,0.625,0.3045,1,0,1,0.5
/P,0.25,0.137,1,0,0,0
/Q,1,0.137,1,1,1,1
/R,1,0.3525,1,1,1,1
/S,1,0.3915,1,1,1,1
/T,0.9615,0.0685,0.846,1,1,1
/U,0.625,0.3525,1,0,1,0.5
/V,1,0.3525,1,1,1,1
/W,1,0.3045,1,1,1,1
/X,1,0.137,1,1,1,1
/Y,0.5865,0.0685,0.846,0,1,0.5
/Z,1,0.137,1,1,1,1
/[,0.2115,0.0685,0.846,0,0,0
;',0.4615,0.205,0.846,1,0,0
";,",0.772,0.41,1,0.588,1,0.5
;.,0.772,0.2735,1,0.588,1,0.5
;/,0.397,0.2735,1,0.588,0,0
;;,0.5,0.41,1,1,0,0
;A,1,0.41,1,1,1,1
;B,0.9615,0.205,0.846,1,1,1
