item,score
e,1.0
t,0.7918637804442463
a,0.6853131711378364
o,0.6508093001786679
i,0.6446476786513293
n,0.6156884072920362
s,0.5534933769228824
r,0.5333606200799571
h,0.4275727475946168
l,0.34264738371281805
d,0.3209027773363939
c,0.28007706727736154
u,0.2270958001954687
m,0.20829213195595245
f,0.19891906367472528
p,0.17586262585189474
g,0.15286806632286862
w,0.13615489352643967
y,0.13523308476133875
b,0.11967434794021545
v,0.08245400003837938
k,0.03821566551500129
x,0.011844037835535295
j,0.005279688026756079
q,0.0019748027227910743
z,0.0
