item_pair,score,cumulative sum,cumulative fraction
th,1.00273E+11,1.00273E+11,0.035562034
he,86697336727,1.8697E+11,0.066309446
in,68595215308,2.55565E+11,0.090636899
er,57754162106,3.1332E+11,0.111119547
an,55974567611,3.69294E+11,0.130971058
re,52285662239,4.2158E+11,0.14951429
on,49570981965,4.71151E+11,0.167094754
at,41920838452,5.13072E+11,0.181962077
en,41004903554,5.54077E+11,0.196504562
nd,38129777631,5.92206E+11,0.210027376
ti,37856196209,6.30063E+11,0.223453164
es,37766388079,6.67829E+11,0.236847102
or,35994097756,7.03823E+11,0.249612493
te,33973261529,7.37796E+11,0.261661189
of,33130341561,7.70927E+11,0.273410942
ed,32937140633,8.03864E+11,0.285092175
is,31817918249,8.35682E+11,0.296376474
it,31672532308,8.67354E+11,0.307609212
al,30662410438,8.98017E+11,0.318483707
ar,30308513014,9.28325E+11,0.329232692
st,29704461829,9.5803E+11,0.339767448
to,29360205581,9.8739E+11,0.350180113
nt,29359771944,1.01675E+12,0.360592625
ng,26871805511,1.04362E+12,0.370122773
se,26282488562,1.0699E+12,0.379443919
ha,26103411208,1.09601E+12,0.388701555
as,24561944198,1.12057E+12,0.397412506
ou,24531132241,1.1451E+12,0.406112529
io,23542263265,1.16864E+12,0.414461847
le,23382173640,1.19202E+12,0.42275439
ve,23270129573,1.21529E+12,0.431007195
co,22384167777,1.23768E+12,0.438945792
me,22360109325,1.26004E+12,0.446875857
de,21565300071,1.2816E+12,0.454524041
hi,21520845924,1.30313E+12,0.462156459
ri,20516398905,1.32364E+12,0.469432648
ro,20491179118,1.34413E+12,0.476699892
ic,19701195496,1.36383E+12,0.483686967
ne,19504235770,1.38334E+12,0.49060419
ea,19403941063,1.40274E+12,0.497485843
ra,19332539912,1.42207E+12,0.504342173
ce,18367773425,1.44044E+12,0.510856347
li,17604626629,1.45805E+12,0.517099869
ch,16854985236,1.4749E+12,0.523077528
ll,16257360474,1.49116E+12,0.528843239
be,16249257887,1.50741E+12,0.534606076
ma,15938689768,1.52335E+12,0.54025877
si,15509759748,1.53886E+12,0.545759342
om,15402602484,1.55426E+12,0.551221911
ur,15303657594,1.56956E+12,0.556649389
ca,15174413181,1.58474E+12,0.56203103
el,14952716079,1.59969E+12,0.567334045
ta,14941000711,1.61463E+12,0.572632906
la,14874551789,1.62951E+12,0.577908201
ns,14350320288,1.64386E+12,0.582997575
di,13899990598,1.65776E+12,0.587927239
fo,13753006196,1.67151E+12,0.592804775
ho,13672603513,1.68518E+12,0.597653796
pe,13477683504,1.69866E+12,0.602433687
ec,13457763533,1.71212E+12,0.607206515
pr,13378480175,1.7255E+12,0.611951224
no,13099447521,1.7386E+12,0.616596973
ct,12997849406,1.75159E+12,0.621206691
us,12808517567,1.7644E+12,0.625749262
