item,score
E,1.0
A,0.9352065733052011
O,0.6865571552817733
N,0.551001979322087
I,0.5154287777347912
S,0.5127508703140129
R,0.5021643201184481
L,0.4277199543116831
D,0.3819083668545432
C,0.33797631135835854
T,0.3342937689300399
U,0.3135536550768508
M,0.20736127904974727
P,0.20374536017356584
B,0.0924166543416322
G,0.08639892979052531
V,0.07226442739011116
Q,0.06365597716416645
Y,0.05900911145441453
H,0.05790380300811993
F,0.0572547739326507
J,0.03167546212103181
Z,0.025508082631161305
X,0.009318928517103116
K,0.0018040495697136158
W,0.0
