item_pair,score,cumulative sum,cumulative fraction
DE,30016893,30016893,3.07831741521762
EN,28060108,58077001,5.95596098509967
ES,24175902,82252903,8.43526822569897
LA,19527555,101780458,10.4378743126487
ON,18972795,120753253,12.3835881899596
ER,17773490,138526743,14.2063099418809
RA,16962221,155488964,15.9458337595215
EL,16871887,172360851,17.6760935695453
AR,16593076,188953927,19.3777605216456
UE,15832279,204786206,21.0014055860526
RE,14977451,219763657,22.537385617326
OS,14886398,234650055,24.0640279054955
AN,14762773,249412828,25.5779920996846
CO,14070742,263483570,27.020986554295
CI,13938151,277421721,28.4503834262242
AS,13837993,291259714,29.869508811505
NT,13820320,305080034,31.2868217805682
TA,13287760,318367794,32.6495192128851
TE,12673188,331040982,33.9491905455153
IO,12476715,343517697,35.228713015386
AL,12229312,355747009,36.4828636067124
OR,11925971,367672980,37.7059057191216
DO,11879013,379551993,38.9241321555984
AD,11264381,390816374,40.0793263392185
QU,11022214,401838588,41.2096856109278
ST,10828690,412667278,42.3201984481822
NA,10450828,423118106,43.391960466851
UN,10400842,433518948,44.458596279609
RO,10004576,443523524,45.4845938914428
SE,10001522,453525046,46.5102783069245
TO,9684268,463209314,47.5034274259234
CA,9528845,472738159,48.4806374759579
IN,9222732,481960891,49.4264547706221
IA,9138152,491099043,50.3635981466705
RI,8880225,499979268,51.27429037816
LO,8787094,508766362,52.1754317617587
NO,8635899,517402261,53.0610676697709
MA,8420077,525822338,53.9245704202579
DA,8366661,534188999,54.782595208617
TI,7863753,542052752,55.5890453568342
IC,7852155,549904907,56.3943060972942
PA,7750361,557655268,57.189127574671
IE,7703869,565359137,57.9791811657358
PO,7685296,573044433,58.767330043033
AC,7306377,580350810,59.5166197034001
TR,7161122,587511932,60.2510130520088
SI,7014459,594526391,60.9703656944702
LE,6958333,601484724,61.6839624566262
ME,6691605,608176329,62.3702055067399
DI,6616915,614793244,63.0487888857563
ID,6412712,621205956,63.7064306686142
EC,6183833,627389789,64.3406002616063
PR,6039211,633429000,64.9599384587833
NE,5884754,639313754,65.5634366530325
LI,5883491,645197245,66.1668053230536
IS,5628501,650825746,66.7440240461863
ND,5628121,656453867,67.3212037992424
MO,5504285,661958152,67.8856838196703
SO,5273098,667231250,68.4264549582938
MI,5257892,672489142,68.9656666785385
PE,5257615,677746757,69.5048499916486
OM,4983049,682729806,70.0158757836112
SA,4960050,687689856,70.5245429629675
AM,4900223,692590079,71.0270747139835
NC,4744389,697334468,71.5136252468207
SU,4666104,702000572,71.9921474311259
HA,4653960,706654532,72.4694242138271
NI,4640284,711294816,72.9452984839841
EM,4381526,715676342,73.3946363881779
CE,4381162,720057504,73.8439369631405
CU,4113653,724171157,74.2658037322982
VI,4003001,728174158,74.676322825378
AB,3939633,732113791,75.0803433505358
IT,3763733,735877524,75.4663248323677
OL,3757660,739635184,75.8516835108447
RT,3670449,743305633,76.2280984542024
BA,3566592,746872225,76.5938625679824
VE,3534614,750406839,76.9563472472686
AT,3417553,753824392,77.3068269893701
IM,3370862,757195254,77.6525184371457
MP,3255171,760450425,77.9863454451179
ED,3217615,763668040,78.3163209788937
LL,3201818,766869858,78.6446764855665
EG,3151001,770020859,78.9678205649243
BI,3025845,773046704,79.2781295419144
GU,2980517,776027221,79.5837900040898
GA,2972505,778999726,79.8886288129673
IL,2939267,781938993,80.1900589707812
IR,2929273,784868266,80.4904642155821
UR,2848570,787716836,80.7825931391008
OC,2792833,790509669,81.0690060753662
TU,2710673,793220342,81.3469932708718
VA,2683721,795904063,81.6222164624221
GO,2651130,798555193,81.8940973545919
UA,2628589,801183782,82.1636666033529
BR,2626186,803809968,82.4329894176562
CT,2615423,806425391,82.7012084558179
PU,2610478,809035869,82.9689203702203
FI,2557411,811593280,83.2311901134335
US,2550166,814143446,83.4927168613716
CH,2548254,816691700,83.754047528293
NS,2512898,819204598,84.0117523372506
UI,2496514,821701112,84.2677769205922
OD,2345894,824047006,84.5083549962263
MU,2327118,826374124,84.7470075398679
ET,2308385,828682509,84.9837389612887
SP,2209187,830891696,85.2102973467809
IV,2207326,833099022,85.4366648814509
ZA,2206914,835305936,85.6629901643537
OB,2175348,837481284,85.8860782645297
MB,2161428,839642712,86.1077388292704
HO,2145366,841788078,86.3277521904072
GR,2097541,843885619,86.5428609623056
UL,2080140,845965759,86.7561852123567
OT,2070138,848035897,86.9684837289721
RR,2032994,850068891,87.1769730231583
RM,1979309,852048200,87.3799567685046
IG,1934252,853982452,87.578319790854
BL,1910967,855893419,87.7742948704869
FU,1898745,857792164,87.9690165493947
JO,1862315,859654479,88.1600022285961
UC,1857332,861511811,88.3504768870307
VO,1853960,863365771,88.5406057373123
EA,1764073,865129844,88.7215164210934
LU,1759481,866889325,88.9019561822654
EV,1717019,868606344,89.0780413450422
NU,1675791,870282135,89.2498984596198
EX,1654087,871936222,89.4195297675099
BE,1650437,873586659,89.5887867575594
SC,1650244,875236903,89.7580239549122
FE,1646807,876883710,89.9269086781779
AP,1644122,878527832,90.0955180470871
PL,1631843,880159675,90.2628681697597
PI,1611491,881771166,90.4281311371749
GE,1602372,883373538,90.592458925306
RS,1550308,884923846,90.7514474027394
CR,1547452,886471298,90.9101429892817
RC,1419625,887890923,91.0557295548393
AG,1419335,889310258,91.2012863800753
AY,1381942,890692200,91.3430084472266
UD,1372601,892064801,91.4837725683648
IZ,1365881,893430682,91.6238475344652
DU,1338746,894769428,91.761139729442
GI,1336759,896106187,91.8982281519396
JU,1335718,897441905,92.035209816938
IB,1334692,898776597,92.1720862627298
RD,1326080,900102677,92.3080795235237
UT,1325504,901428181,92.4440137138858
FO,1308250,902736431,92.5781784576672
AU,1283737,904020168,92.7098293238531
RU,1281043,905301211,92.8412039127069
OP,1276387,906577598,92.9721010155702
LT,1269862,907847460,93.1023289611981
HI,1245058,909092518,93.2300131863561
JA,1242208,910334726,93.35740513594
RN,1230997,911565723,93.4836473657131
EJ,1222790,912788513,93.6090479443857
AJ,1217382,914005895,93.7338939173375
RG,1214447,915220342,93.8584388977243
JE,1212201,916432543,93.9827535444482
EZ,1185882,917618425,94.1043691031602
BO,1177113,918795538,94.2250853760795
IP,1175694,919971232,94.3456561265289
UM,1175182,921146414,94.4661743699277
EP,1150551,922296965,94.5841666344967
NG,1148603,923445568,94.701959126147
HE,1120920,924566488,94.8169126477212
CL,1117384,925683872,94.9315035424779
UB,1094373,926778245,95.0437345939943
EB,1064887,927843132,95.1529417726766
FA,1028718,928871850,95.2584397179418
DR,1011462,929883312,95.3621680115208
IF,980268,930863580,95.4626972720269
AV,964609,931828189,95.5616206577209
OG,950566,932778755,95.659103893981
ZO,943461,933722216,95.7558584923626
NF,934977,934657193,95.851743032509
FR,933279,935590472,95.9474534379449
BU,896170,936486642,96.0393582103008
CC,882752,937369394,96.1298869287434
EO,882531,938251925,96.2203929830099
EF,878416,939130341,96.3104770323685
OV,843445,939973786,96.3969747066041
YO,807838,940781624,96.4798207821148
UP,806185,941587809,96.5624973377926
YA,801177,942388986,96.6446603088826
SM,796354,943185340,96.726328667659
AI,758970,943944310,96.8041631913264
XI,737310,944681620,96.8797764206307
NV,702684,945384304,96.9518386555394
AZ,702520,946086824,97.0238840717835
OY,697641,946784465,97.0954291327553
UY,660136,947444601,97.1631279497252
UG,653831,948098432,97.230180171083
NZ,600036,948698468,97.2917155627892
AF,599523,949297991,97.353198344892
LG,577226,949875217,97.4123945064773
OF,564019,950439236,97.4702362527971
IJ,537032,950976268,97.5253104058125
LM,535726,951511994,97.580250624828
XP,532714,952044708,97.6348819547105
YE,526043,952570751,97.688829154644
RL,519943,953090694,97.7421507822961
HU,467668,953558362,97.7901114606028
RV,460875,954019237,97.8373754975149
EU,457828,954477065,97.8843270559449
SD,451581,954928646,97.930637966827
EQ,435942,955364588,97.9753450539537
RQ,425391,955789979,98.0189701061394
AH,401459,956191438,98.0601408639256
LV,399920,956591358,98.1011537929017
EI,389637,956980995,98.1411121710961
IU,380912,957361907,98.1801757758224
UV,367754,957729661,98.2178899903721
LD,349530,958079191,98.253735282093
PT,339956,958419147,98.2885987329907
GL,320278,958739425,98.3214441492405
UJ,314246,959053671,98.3536709668016
AQ,313932,959367603,98.3858655827732
XT,312816,959680419,98.4179457497831
EE,302265,959982684,98.448943881852
AE,289362,960272046,98.4786187747165
NQ,288484,960560530,98.5082036261937
EY,285083,960845613,98.5374396954859
LC,280087,961125700,98.5661634108243
FL,275866,961401566,98.5944542506546
RP,273071,961674637,98.6224584553166
GN,257933,961932570,98.6489102151926
RZ,234925,962167495,98.6730024394868
