position_pair,score,uncertainty
ff,-0.083381015,0.07904276
df,-0.202541071,0.014384405
dd,-0.22756189,0.080758824
sf,-0.268886048,0.019179824
er,-0.273541505,0.03348814
fd,-0.316128929,0.040924982
ss,-0.331289236,0.083638918
af,-0.331527084,0.023983651
sd,-0.337513956,0.023974019
ad,-0.37361471,0.028966476
ee,-0.380781191,0.083697963
fs,-0.383287656,0.042846085
as,-0.397520864,0.034503445
rr,-0.400530126,0.084119092
re,-0.403771221,0.050255217
fa,-0.437119925,0.045221262
ds,-0.440396844,0.045211049
vv,-0.460667644,0.090177209
ef,-0.465124192,0.078035658
we,-0.488928333,0.03251502
aa,-0.501404762,0.087323288
da,-0.505836971,0.047932343
wr,-0.516317183,0.030475416
ww,-0.548734498,0.086331504
dv,-0.551523123,0.077081417
wf,-0.559575421,0.052731493
sa,-0.567617752,0.050975126
fe,-0.572102108,0.086948223
se,-0.58465607,0.091835769
ar,-0.587655904,0.054309944
dr,-0.589301252,0.089903658
ed,-0.591651718,0.126376491
vf,-0.605379073,0.116201516
fv,-0.605381361,0.116201516
fr,-0.605698083,0.125192901
wd,-0.614135356,0.080344091
rf,-0.621408233,0.125177947
ew,-0.623512776,0.050153157
de,-0.626671034,0.126116184
rw,-0.631270067,0.048955373
cv,-0.633670968,0.046714269
sv,-0.643227637,0.054733305
sr,-0.645949472,0.057576071
qr,-0.652893734,0.037464528
qe,-0.654174664,0.037262209
es,-0.662681272,0.099898703
vd,-0.666541124,0.086078208
qf,-0.670810377,0.051953927
fw,-0.673084748,0.065180932
av,-0.673804215,0.053973938
rd,-0.693672037,0.097739539
xv,-0.701113549,0.048406132
zv,-0.702546254,0.049605718
zf,-0.712323065,0.056809215
ae,-0.714264618,0.060708141
cc,-0.721278562,0.09362552
qw,-0.721770037,0.041077279
cf,-0.724770962,0.101039795
rs,-0.725428382,0.06925461
dw,-0.727123438,0.089011916
ra,-0.734845754,0.066028286
sc,-0.741245483,0.08000444
vc,-0.747058408,0.060416608
xf,-0.751637776,0.063535245
vs,-0.756674952,0.066810765
qd,-0.761218433,0.057703965
eq,-0.76259479,0.053448033
rq,-0.76620201,0.053586702
ea,-0.768976639,0.072064805
fq,-0.784202436,0.064553498
ev,-0.79056984,0.112952227
va,-0.792833701,0.066175833
aw,-0.795578021,0.094406676
ac,-0.80596001,0.059680618
dc,-0.80667013,0.117762515
cd,-0.806695148,0.117762514
vx,-0.81467137,0.061734082
qs,-0.815933906,0.084239359
vz,-0.815948534,0.062679111
qq,-0.816573755,0.091946699
zd,-0.820666138,0.066386683
ws,-0.825222711,0.127733628
fz,-0.825713725,0.068521752
sw,-0.82622612,0.127733404
xc,-0.832896537,0.05308608
wq,-0.83516014,0.056171937
zc,-0.836464913,0.052942934
fc,-0.838232775,0.108060093
ve,-0.854422711,0.119491
xd,-0.860080939,0.102843963
xx,-0.863442268,0.096046639
fx,-0.86518616,0.074193468
zz,-0.8660094,0.097526061
cs,-0.866090366,0.088694301
dq,-0.874548266,0.069265368
wa,-0.880711054,0.101944986
ax,-0.888234891,0.083369554
rv,-0.895917075,0.140906372
wv,-0.899820741,0.096155166
vr,-0.901856936,0.140904936
zx,-0.904065163,0.055694029
ca,-0.911500804,0.070973471
sq,-0.928690841,0.09254306
zs,-0.928927037,0.1050681
dz,-0.934053318,0.076649431
xs,-0.942071534,0.119698832
sx,-0.942075541,0.119698832
cx,-0.948580961,0.065467676
cz,-0.94979754,0.065352107
dx,-0.973467065,0.109748915
ce,-0.980558104,0.142006543
ec,-0.995678364,0.141948185
xa,-1.000690046,0.091752221
qv,-1.007513644,0.094171334
za,-1.00878612,0.121992818
az,-1.00991792,0.121992652
vw,-1.013209253,0.103507293
wc,-1.01413941,0.114934372
xz,-1.017454675,0.067600063
aq,-1.029579231,0.130571184
qa,-1.029760876,0.130571182
sz,-1.042320808,0.111835814
cr,-1.052470129,0.139791262
zr,-1.05551273,0.10113659
ze,-1.10842785,0.11260283
xr,-1.110188733,0.112146036
vq,-1.120904545,0.101667024
cw,-1.127575507,0.121152192
xe,-1.132426501,0.140141305
qc,-1.167640278,0.100314319
rc,-1.168297,0.144944471
rz,-1.168863305,0.108150605
xw,-1.172290079,0.143491751
wx,-1.172308992,0.143491751
zw,-1.203171039,0.141781416
qx,-1.215702473,0.118446951
rx,-1.223479533,0.11851024
ez,-1.225743013,0.118941726
ex,-1.229122866,0.145297459
cq,-1.28055799,0.107382069
zq,-1.307494871,0.145717548
qz,-1.307497683,0.145717548
wz,-1.316579975,0.146866993
xq,-1.329067233,0.124489453
jj,-0.083381015,0.07904276
kj,-0.202541071,0.014384405
kk,-0.22756189,0.080758824
lj,-0.268886048,0.019179824
iu,-0.273541505,0.03348814
jk,-0.316128929,0.040924982
ll,-0.331289236,0.083638918
";j",-0.331527084,0.023983651
lk,-0.337513956,0.023974019
";k",-0.37361471,0.028966476
ii,-0.380781191,0.083697963
jl,-0.383287656,0.042846085
";l",-0.397520864,0.034503445
uu,-0.400530126,0.084119092
ui,-0.403771221,0.050255217
"j;",-0.437119925,0.045221262
kl,-0.440396844,0.045211049
mm,-0.460667644,0.090177209
ij,-0.465124192,0.078035658
oi,-0.488928333,0.03251502
";;",-0.501404762,0.087323288
"k;",-0.505836971,0.047932343
ou,-0.516317183,0.030475416
oo,-0.548734498,0.086331504
km,-0.551523123,0.077081417
oj,-0.559575421,0.052731493
"l;",-0.567617752,0.050975126
ji,-0.572102108,0.086948223
li,-0.58465607,0.091835769
