position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
'',0,0,0,0,1,0,0
"',",1,0.5,0,0.5,0.5,1,0
'.,1,0,0.25,0.5,0.5,0,0
'/,0,0,0.25,0.5,0.5,0,0
';,0,0,0.5,0.5,1,0,0
'A,1,0,0.5,0.5,1,1,1
'B,1,0.5,0,0,1,1,1
'C,1,0.5,0,0.5,1,1,1
'D,1,0.5,0.5,0.5,1,1,1
'E,1,0.5,0.25,0.5,1,1,1
'F,1,0.5,0.5,0.5,1,1,1
'G,1,0.5,0,0,1,1,1
'H,1,0.5,0,0,1,0,1
'I,1,0.5,0.25,0.5,0.5,1,0
'J,1,0.5,0.5,0.5,1,0,1
'K,1,0.5,0.5,0.5,1,0,1
'L,1,0,0.5,0.5,1,0,1
'M,1,0.5,0.25,0.5,0.5,1,0
'N,1,0.5,0,0,0.5,1,0
'O,1,0,0.25,0.5,0.5,0,0
'P,0,0,0,0.5,0.5,0,0
'Q,1,0,0,0.5,1,1,1
'R,1,0.5,0,0.5,1,1,1
'S,1,0,0.5,0.5,1,1,1
'T,1,0.5,0,0,1,1,1
'U,1,0.5,0,0.5,0.5,1,0
'V,1,0.5,0.25,0.5,1,1,1
'W,1,0,0.25,0.5,1,1,1
'X,1,0,0.25,0.5,1,1,1
'Y,1,0.5,0,0,0.5,1,0
'Z,1,0,0.25,0.5,1,1,1
'[,0,0,0,0,0.5,0,0
",'",1,0.5,0,0.5,0.5,1,0
",,",0,1,0,1,1,0,0
",.",1,0.5,0.25,1,1,1,0
",/",1,0.5,0.25,1,1,0,0
",;",1,0.5,0.5,1,0.5,1,0
",A",1,0.5,0.5,1,1,1,1
",B",1,1,0,0.5,1,1,1
",C",1,1,0,1,1,1,1
",D",1,1,0.5,1,1,1,1
",E",1,1,0.25,1,1,1,1
",F",1,1,0.5,1,1,1,1
",G",1,1,0,0.5,1,1,1
",H",1,1,0,0.5,0.5,0,0
",I",0,1,0.25,1,0,0,0
",J",1,1,0.5,1,0.5,0,0
",K",0,1,0.5,1,0.5,0,0
",L",1,0.5,0.5,1,0.5,0,0
",M",1,1,0.25,1,1,1,1
",N",1,1,0,0.5,1,0,1
",O",1,0.5,0.25,1,0,0,0
",P",1,0.5,0,1,0,1,0
",Q",1,0.5,0,1,1,1,1
",R",1,1,0,1,1,1,1
",S",1,0.5,0.5,1,1,1,1
",T",1,1,0,0.5,1,1,1
",U",1,1,0,1,0,0,0
",V",1,1,0.25,1,1,1,1
",W",1,0.5,0.25,1,1,1,1
",X",1,0.5,0.25,1,1,1,1
",Y",1,1,0,0.5,0,0,0
",Z",1,0.5,0.25,1,1,1,1
",[",1,0.5,0,0.5,0,1,0
.',1,0,0.25,0.5,0.5,0,0
".,",1,0.5,0,1,1,1,1
..,0,0,0.5,1,1,0,0
./,1,0,0.5,1,1,1,0
.;,1,0,0.75,1,0.5,0,0
.A,1,0,0.75,1,1,1,1
.B,1,0.5,0.25,0.5,1,1,1
.C,1,0.5,0,1,1,1,1
.D,1,0.5,0.75,1,1,1,1
.E,1,0.5,0.5,1,1,1,1
.F,1,0.5,0.75,1,1,1,1
.G,1,0.5,0.25,0.5,1,1,1
.H,1,0.5,0.25,0.5,0.5,1,0
.I,1,0.5,0.5,1,0,0,0
.J,1,0.5,0.75,1,0.5,1,0
.K,1,0.5,0.75,1,0.5,0,0
.L,0,0,0.75,1,0.5,0,0
.M,1,0.5,0.5,1,1,0,1
.N,1,0.5,0.25,0.5,1,0,1
.O,0,0,0.5,1,0,0,0
.P,1,0,0,1,0,0,0
.Q,1,0,0,1,1,1,1
.R,1,0.5,0,1,1,1,1
.S,1,0,0.75,1,1,1,1
.T,1,0.5,0.25,0.5,1,1,1
.U,1,0.5,0,1,0,1,0
.V,1,0.5,0.5,1,1,1,1
.W,1,0,0.5,1,1,1,1
.X,1,0,0.5,1,1,1,1
.Y,1,0.5,0.25,0.5,0,1,0
.Z,1,0,0.5,1,1,1,1
.[,1,0,0.25,0.5,0,0,0
/',0,0,0.25,0.5,0.5,0,0
"/,",1,0.5,0,1,1,0,1
/.,1,0,0.5,1,1,1,1
//,0,0,0.5,1,1,0,0
/;,0,0,0.75,1,0.5,0,0
/A,1,0,0.75,1,1,1,1
/B,1,0.5,0.25,0.5,1,1,1
/C,1,0.5,0,1,1,1,1
/D,1,0.5,0.75,1,1,1,1
/E,1,0.5,0.5,1,1,1,1
/F,1,0.5,0.75,1,1,1,1
/G,1,0.5,0.25,0.5,1,1,1
/H,1,0.5,0.25,0.5,0.5,1,0
/I,1,0.5,0.5,1,0,1,0
/J,1,0.5,0.75,1,0.5,1,0
/K,1,0.5,0.75,1,0.5,1,0
/L,1,0,0.75,1,0.5,0,0
/M,1,0.5,0.5,1,1,0,1
/N,1,0.5,0.25,0.5,1,0,1
/O,1,0,0.5,1,0,0,0
/P,0,0,0,1,0,0,0
/Q,1,0,0,1,1,1,1
/R,1,0.5,0,1,1,1,1
/S,1,0,0.75,1,1,1,1
/T,1,0.5,0.25,0.5,1,1,1
/U,1,0.5,0,1,0,1,0
/V,1,0.5,0.5,1,1,1,1
/W,1,0,0.5,1,1,1,1
/X,1,0,0.5,1,1,1,1
/Y,1,0.5,0.25,0.5,0,1,0
/Z,1,0,0.5,1,1,1,1
/[,0,0,0.25,0.5,0,0,0
;',0,0,0.5,0.5,1,0,0
";,",1,0.5,0,1,0.5,1,0
;.,1,0,0.75,1,0.5,0,0
;/,0,0,0.75,1,0.5,0,0
;;,0,0,1,1,1,0,0
;A,1,0,1,1,1,1,1
;B,1,0.5,0.5,0.5,1,1,1
;C,1,0.5,0,1,1,1,1
;D,1,0.5,1,1,1,1,1
;E,1,0.5,0.75,1,1,1,1
;F,1,0.5,1,1,1,1,1
;G,1,0.5,0.5,0.5,1,1,1
;H,1,0.5,0.5,0.5,1,0,1
;I,1,0.5,0.75,1,0.5,1,0
;J,1,0.5,1,1,1,0,1
;K,1,0.5,1,1,1,0,1
;L,1,0,1,1,1,1,1
;M,1,0.5,0.75,1,0.5,1,0
;N,1,0.5,0.5,0.5,0.5,1,0
;O,1,0,0.75,1,0.5,0,0
;P,0,0,0,1,0.5,0,0
;Q,1,0,0,1,1,1,1
;R,1,0.5,0,1,1,1,1
;S,1,0,1,1,1,1,1
;T,1,0.5,0.5,0.5,1,1,1
;U,1,0.5,0,1,0.5,1,0
;V,1,0.5,0.75,1,1,1,1
;W,1,0,0.75,1,1,1,1
;X,1,0,0.75,1,1,1,1
;Y,1,0.5,0.5,0.5,0.5,1,0
;Z,1,0,0.75,1,1,1,1
;[,0,0,0.5,0.5,0.5,0,0
A',1,0,0.5,0.5,1,1,1
"A,",1,0.5,0,1,1,1,1
A.,1,0,0.75,1,1,1,1
A/,1,0,0.75,1,1,1,1
A;,1,0,1,1,1,1,1
AA,0,0,1,1,1,0,0
AB,1,0.5,0.5,0.5,0.5,1,0
AC,1,0.5,0,1,0.5,1,0
AD,1,0.5,1,1,1,0,1
AE,1,0.5,0.75,1,0.5,1,0
AF,1,0.5,1,1,1,0,1
AG,1,0.5,0.5,0.5,1,0,1
AH,1,0.5,0.5,0.5,1,1,1
AI,1,0.5,0.75,1,1,1,1
