key_pair,comfort_score,distance_interval,distance_return,distance_setup,distance_total,dvorak7_columns,dvorak7_distribution,dvorak7_inward,dvorak7_middle,dvorak7_remote,dvorak7_score,dvorak7_strength,dvorak7_vspan,engram7_hspan,engram7_load,engram7_position,engram7_score,engram7_sequence,engram7_strength,engram7_stretch,engram7_vspan,time_interval,time_return,time_setup,time_total,comfort_score_normalized,distance_interval_normalized,distance_return_normalized,distance_setup_normalized,distance_total_normalized,dvorak7_columns_normalized,dvorak7_distribution_normalized,dvorak7_inward_normalized,dvorak7_middle_normalized,dvorak7_remote_normalized,dvorak7_score_normalized,dvorak7_strength_normalized,dvorak7_vspan_normalized,engram7_hspan_normalized,engram7_load_normalized,engram7_position_normalized,engram7_score_normalized,engram7_sequence_normalized,engram7_strength_normalized,engram7_stretch_normalized,engram7_vspan_normalized,time_interval_normalized,time_return_normalized,time_setup_normalized,time_total_normalized
'',-1.442261,0.0,19.0,19.0,38.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,448.0,200.0,211.5,859.5,0.038493,0.0,0.271429,0.542857,0.281481,0.0,0.0,0.0,1.0,0.0,0.285714,0.0,1.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,1.0,0.994286,0.0,0.0575,0.425735
"',",-1.309704,21.470911,40.470911,19.0,80.941821,0.5,0.5,1.0,0.5,1.0,4.5,0.5,0.5,1.0,1.0,0.0,3.5,0.0,0.5,0.5,0.5,448.0,200.0,211.5,859.5,0.126864,0.39038,0.578156,0.542857,0.599569,0.5,0.5,1.0,0.5,1.0,0.642857,0.5,0.5,1.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.994286,0.0,0.0575,0.425735
'.,-1.363758,21.470911,40.470911,19.0,80.941821,0.5,0.5,1.0,0.5,0.0,3.0,0.0,0.5,0.0,1.0,0.25,2.25,0.0,0.0,0.5,0.5,448.0,200.0,211.5,859.5,0.090828,0.39038,0.578156,0.542857,0.599569,0.5,0.5,1.0,0.5,0.0,0.428571,0.0,0.5,0.0,1.0,0.25,0.321429,0.0,0.0,0.5,0.5,0.994286,0.0,0.0575,0.425735
'/,-1.428568,21.023796,21.470911,19.0,61.494707,0.5,0.0,0.0,0.5,0.0,1.5,0.0,0.5,0.0,0.0,0.25,1.25,0.0,0.0,0.5,0.5,448.0,200.0,211.5,1059.5,0.047621,0.382251,0.306727,0.542857,0.455516,0.5,0.0,0.0,0.5,0.0,0.214286,0.0,0.5,0.0,0.0,0.25,0.178571,0.0,0.0,0.5,0.5,0.994286,0.0,0.0575,0.719853
';,-1.108615,19.0,0.0,19.0,38.0,0.5,0.0,0.0,1.0,0.0,2.5,0.0,1.0,0.0,0.0,0.5,2.0,0.0,0.0,0.5,1.0,448.0,200.0,211.5,859.5,0.260923,0.345455,0.0,0.542857,0.281481,0.5,0.0,0.0,1.0,0.0,0.357143,0.0,1.0,0.0,0.0,0.5,0.285714,0.0,0.0,0.5,1.0,0.994286,0.0,0.0575,0.425735
'A,-0.586998,0.0,19.0,19.0,38.0,0.5,1.0,1.0,1.0,1.0,5.5,0.0,1.0,1.0,1.0,0.5,5.0,1.0,0.0,0.5,1.0,448.0,200.0,211.5,859.5,0.608668,0.0,0.271429,0.542857,0.281481,0.5,1.0,1.0,1.0,1.0,0.785714,0.0,1.0,1.0,1.0,0.5,0.714286,1.0,0.0,0.5,1.0,0.994286,0.0,0.0575,0.425735
'B,-0.836557,34.669872,53.669872,19.0,107.339743,0.0,1.0,1.0,0.5,1.0,5.0,0.5,1.0,1.0,1.0,0.0,4.5,1.0,0.5,0.0,1.0,448.0,286.2,211.5,945.7,0.442295,0.630361,0.766712,0.542857,0.795109,0.0,1.0,1.0,0.5,1.0,0.714286,0.5,1.0,1.0,1.0,0.0,0.642857,1.0,0.5,0.0,1.0,0.994286,0.431,0.0575,0.5525
'C,-0.793852,21.470911,40.470911,19.0,80.941821,0.5,1.0,1.0,0.5,1.0,5.5,0.5,1.0,1.0,1.0,0.0,5.0,1.0,0.5,0.5,1.0,448.0,200.0,211.5,859.5,0.470765,0.39038,0.578156,0.542857,0.599569,0.5,1.0,1.0,0.5,1.0,0.785714,0.5,1.0,1.0,1.0,0.0,0.714286,1.0,0.5,0.5,1.0,0.994286,0.0,0.0575,0.425735
'D,-0.521334,0.0,19.0,19.0,38.0,0.5,1.0,1.0,1.0,1.0,6.0,0.5,1.0,1.0,1.0,0.5,5.5,1.0,0.5,0.5,1.0,448.0,206.4,211.5,865.9,0.652444,0.0,0.271429,0.542857,0.281481,0.5,1.0,1.0,1.0,1.0,0.857143,0.5,1.0,1.0,1.0,0.5,0.785714,1.0,0.5,0.5,1.0,0.994286,0.032,0.0575,0.435147
'E,-0.589028,19.646883,38.646883,19.0,77.293765,0.5,1.0,1.0,0.5,1.0,5.5,0.5,1.0,1.0,1.0,0.25,5.25,1.0,0.5,0.5,1.0,448.0,211.5,211.5,871.0,0.607315,0.357216,0.552098,0.542857,0.572546,0.5,1.0,1.0,0.5,1.0,0.785714,0.5,1.0,1.0,1.0,0.25,0.75,1.0,0.5,0.5,1.0,0.994286,0.0575,0.0575,0.442647
