position_pair,score,uncertainty,
FF,1,0.0844383276032997,
JJ,1,0.0844383276032997,
DF,0.895027354840023,0.0133966355065983,
KJ,0.895027354840023,0.0133966355065983,
DD,0.893841453390572,0.0858360173609932,
KK,0.893841453390572,0.0858360173609932,
SF,0.846134450943426,0.0178627033844564,
LJ,0.846134450943426,0.0178627033844564,
SS,0.817158950007002,0.088189735832887,
LL,0.817158950007002,0.088189735832887,
FD,0.806871179854981,0.0384503988153223,
JK,0.806871179854981,0.0384503988153223,
AF,0.799940386144485,0.0223358904348768,
;J,0.799940386144485,0.0223358904348768,
ER,0.797000593402512,0.0291930466419196,
IU,0.797000593402512,0.0291930466419196,
SD,0.795578113635529,0.0223277350843973,
LK,0.795578113635529,0.0223277350843973,
AD,0.768722349182843,0.0269606778185998,
;K,0.768722349182843,0.0269606778185998,
FS,0.75738534579916,0.040224649496374,
JL,0.75738534579916,0.040224649496374,
AS,0.750752052518807,0.0320555161784079,
;L,0.750752052518807,0.0320555161784079,
EE,0.748000476960885,0.087793302951474,
II,0.748000476960885,0.087793302951474,
FA,0.717609697370366,0.042417894515397,
J;,0.717609697370366,0.042417894515397,
DS,0.715222004325148,0.042409309636542,
KL,0.715222004325148,0.042409309636542,
RR,0.710525859770008,0.0878256642120618,
UU,0.710525859770008,0.0878256642120618,
RE,0.696718501903387,0.0458353677554152,
UI,0.696718501903387,0.0458353677554152,
AA,0.692103389097136,0.0912407291867806,
;;,0.692103389097136,0.0912407291867806,
EF,0.689129676988546,0.0742245996313944,
IJ,0.689129676988546,0.0742245996313944,
DA,0.666988410288075,0.0449261427301712,
K;,0.666988410288075,0.0449261427301712,
VV,0.656695369450713,0.0919257651371701,
MM,0.656695369450713,0.0919257651371701,
WE,0.651052276138668,0.0289425186552801,
OI,0.651052276138668,0.0289425186552801,
WW,0.624520394659017,0.0899833634617468,
OO,0.624520394659017,0.0899833634617468,
SA,0.621421161227554,0.0477413291614,
L;,0.621421161227554,0.0477413291614,
WR,0.619553295282561,0.0267016006172187,
OU,0.619553295282561,0.0267016006172187,
WF,0.614429956188162,0.0509748034429147,
OJ,0.614429956188162,0.0509748034429147,
DV,0.612427694635872,0.0726151529168029,
KM,0.612427694635872,0.0726151529168029,
FE,0.605789768026842,0.082524027894013,
