index,layout,letters,positions,average_score,engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger,engram_order
1,"etaoinsrhldcumfpgwxqybvkjz -> DJFEAKS;LIVMURWOC,'[X/ZPQ.",jfom  ulpkisea  tnhrvygd  cwzbqx,"DJFEAKS;LIVMURWOC,'[X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
2,"etaoinsrhldcumfpgwjzybvkxq -> DJFEAKS;LIVMURWOC,'[X/ZPQ.",xfom  ulpkisea  tnhrvygd  cwqbzj,"DJFEAKS;LIVMURWOC,'[X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
3,"etaoinsrhldcumfpgwyzbvkxjq -> DJFEAKS;LIVMURWOC,'[X/ZPQ.",jfom  ulpxisea  tnhrkbgd  cwqvzy,"DJFEAKS;LIVMURWOC,'[X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
4,"etaoinsrhldcumfpgwqzybvkxj -> DJFEAKS;LIVMURWOC,'[X/ZPQ.",xfom  ulpkisea  tnhrvygd  cwjbzq,"DJFEAKS;LIVMURWOC,'[X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
5,"etaoinsrhldcumfpgwxzybvkjq -> DJFEAKS;LIVMURWOC,'[X/ZPQ.",jfom  ulpkisea  tnhrvygd  cwqbzx,"DJFEAKS;LIVMURWOC,'[X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
6,"etaoinsrhldcumfpgwqzybvkxj -> DJFEAKS;LIVMURWOC,['X/ZPQ.",xfom  ulpkisea  tnhrvygd  cwjbqz,"DJFEAKS;LIVMURWOC,['X/ZPQ.",0.7925,0.885835374351541,0.5569324438044663,0.7037253836037942,0.8161717132633096,1.0
7,"etaoinsrhldcumfbkxpgwyvjqz -> DJSEFL;KAIVMUROWC,Q[ZPX'./",pbom  ulfyhaei  trnswvkd  cxqzgj,"DJSEFL;KAIVMUROWC,Q[ZPX'./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
8,"etaoinsrhldcumfpwygbvkxjqz -> DJSEF;LKAIVMURWO,CQ[ZPX.'/",gfom  ulpkhaei  trsnvxyd  cwjzbq,"DJSEF;LKAIVMURWO,CQ[ZPX.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
9,"etaoinsrhldmfwyvkjcupgbxqz -> KFJILASD;EVURMOCW,X[ZPQ.'/",bklf  moygnsrt  aeihpcvd  wjxzuq,"KFJILASD;EVURMOCW,X[ZPQ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
10,"etaoinsrhldumwykxjcfpgbvqz -> KFJILASD;EVRUMOCW,X[ZPQ.'/",bxlu  moygnsrt  aeihpckd  wjvzfq,"KFJILASD;EVRUMOCW,X[ZPQ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
11,"etaoinsrhldcumfpbkgwyvxjqz -> DJSEFK;LAIVMUROW,CQ.ZPX'[/",gpom  ulfvhaei  tnrsyxkd  cbwzqj,"DJSEFK;LAIVMUROW,CQ.ZPX'[/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
12,"etaoinsrhldcumfpgwybvkxjqz -> DJFESLK;AIVMRUWOC,X'ZPQ[./",xfou  mlpkhiea  tsnrvygd  cwqzjb,"DJFESLK;AIVMRUWOC,X'ZPQ[./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
13,"etaoinsrhldcumfpgwybvkxjqz -> DJFES;LKAIVMRUWOC,X[ZPQ.'/",xfou  mlpkhiea  trsnvygd  cwjzbq,"DJFES;LKAIVMRUWOC,X[ZPQ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
14,"etaoinsrhldcumfpwygbvkxjqz -> DJSEFK;LAIVMURWO,CQ.ZPX'[/",gfom  ulpkhaei  tnrsvxyd  cwbzqj,"DJSEFK;LAIVMURWO,CQ.ZPX'[/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
15,"etaoinsrhldmfwykxjcupgbvqz -> KFJILASD;EVURMOCW,X[ZPQ.'/",bxlf  moygnsrt  aeihpckd  wjvzuq,"KFJILASD;EVURMOCW,X[ZPQ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
16,"etaoinsrhldcumfpwygbvkxjqz -> DJSEFKL;AIVMRUWO,CQ.ZPX['/",gfou  mlpkhaei  tnsrvxyd  cwbzjq,"DJSEFKL;AIVMRUWO,CQ.ZPX['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
17,"etaoinsrhldcumfpbkgwyvxjqz -> DJSEFL;KAIVMUROW,CQ[ZPX'./",gpom  ulfvhaei  trnsyxkd  cbqzwj,"DJSEFL;KAIVMUROW,CQ[ZPX'./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
18,"etaoinsrhldcumfpwygbvkxjqz -> DJSEFKL;AIVMURWO,CQ.ZPX['/",gfom  ulpkhaei  tnsrvxyd  cwbzjq,"DJSEFKL;AIVMURWO,CQ.ZPX['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
19,"etaoinsrhldcumfpwygbvkxjqz -> DJSEF;LKAIVMRUWO,CQ[ZPX.'/",gfou  mlpkhaei  trsnvxyd  cwjzbq,"DJSEF;LKAIVMRUWO,CQ[ZPX.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
20,"etaoinsrhldcumfpwygbvkxjqz -> DJFES;LKAIVMRUWO,CX[ZPQ.'/",xfou  mlpkhiea  trsnvgyd  cwjzbq,"DJFES;LKAIVMRUWO,CX[ZPQ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
21,"etaoinsrhldcumfpgwybvkxjqz -> DJFESKL;AIVMURWOC,X.ZPQ['/",xfom  ulpkhiea  tnsrvygd  cwbzjq,"DJFESKL;AIVMURWOC,X.ZPQ['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
22,"etaoinsrhldumwykxjcfpgbvqz -> KFJILSDA;ERVUMOCW,X'ZPQ[./",bxld  moygrnst  aeihpcku  wjqzvf,"KFJILSDA;ERVUMOCW,X'ZPQ[./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
23,"etaoinsrhldcumfwykpgbvxjqz -> DJSEFK;LAIVMURW,COQ.ZPX'[/",pfom  ulkvhaei  tnrsbxyd  cwgzqj,"DJSEFK;LAIVMURW,COQ.ZPX'[/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
24,"etaoinsrhldcumfpwygbvkxjqz -> DJSEFL;KAIVMURWO,CQ[ZPX'./",gfom  ulpkhaei  trnsvxyd  cwqzbj,"DJSEFL;KAIVMURWO,CQ[ZPX'./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
25,"etaoinsrhldcumfbkxpgwyvjqz -> DJSEFK;LAIVMUROWC,Q.ZPX'[/",pbom  ulfyhaei  tnrswvkd  cxgzqj,"DJSEFK;LAIVMUROWC,Q.ZPX'[/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
26,"etaoinsrhldcumfwykpgbvxjqz -> DJSEF;LKAIVMRUW,COQ[ZPX.'/",pfou  mlkvhaei  trsnbxyd  cwjzgq,"DJSEF;LKAIVMRUW,COQ[ZPX.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
27,"etaoinsrhldcumfpgwybvkxjqz -> DJSEF;LKAIVMRUWOC,Q[ZPX.'/",yfou  mlpkhaei  trsnvxgd  cwjzbq,"DJSEF;LKAIVMRUWOC,Q[ZPX.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
28,"etaoinsrhldcumfpgwybvkxjqz -> DJFESKL;AIVMRUWOC,X.ZPQ['/",xfou  mlpkhiea  tnsrvygd  cwbzjq,"DJFESKL;AIVMRUWOC,X.ZPQ['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
29,"etaoinsrhldcmgwyvkufpbxjqz -> JFILKASD;EVURMCW,OP[XQZ.'/",bylm  cakunsrt  eiohxpwd  gvjzfq,"JFILKASD;EVURMCW,OP[XQZ.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
30,"etaoinsrhldcumfwykpgbvxjqz -> DJSEFL;KAIVMURW,COQ[ZPX'./",pfom  ulkvhaei  trnsbxyd  cwqzgj,"DJSEFL;KAIVMURW,COQ[ZPX'./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
31,"etaoinsrhldcumfpbkgwyvxjqz -> DJSEFKL;AIVMUROW,CQ.ZPX['/",gpom  ulfvhaei  tnsryxkd  cbwzjq,"DJSEFKL;AIVMUROW,CQ.ZPX['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
32,"etaoinsrhldcumfpgwybvkxjqz -> DJSEFKL;AIVMRUWOC,Q.ZPX['/",yfou  mlpkhaei  tnsrvxgd  cwbzjq,"DJSEFKL;AIVMRUWOC,Q.ZPX['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
33,"etaoinsrhldcumfpybgwvkxjqz -> DJFESKL;AIVMUROWC,X.ZPQ['/",xpom  ulfkhiea  tnsrvgyd  cbwzjq,"DJFESKL;AIVMUROWC,X.ZPQ['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
34,"etaoinsrhldcumfpwygbvkxjqz -> DJFESKL;AIVMURWO,CX.ZPQ['/",xfom  ulpkhiea  tnsrvgyd  cwbzjq,"DJFESKL;AIVMURWO,CX.ZPQ['/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
35,"etaoinsrhldumgykxjcfpwbvqz -> KFJILSDA;ERVUMOCW,X'ZPQ[./",bxld  moywrnst  aeihpcku  gjqzvf,"KFJILSDA;ERVUMOCW,X'ZPQ[./",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
36,"etaoinsrhldcumfwykpgbvxjqz -> DJSEF;LKAIVMURW,COQ[ZPX.'/",pfom  ulkvhaei  trsnbxyd  cwjzgq,"DJSEF;LKAIVMURW,COQ[ZPX.'/",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
37,"etaoinsrhldumfpgbkcwyvxjqz -> DKSEF;LJAIVURMWO,CQ/ZPX.'[",cpom  ulgvhaei  rtsnyxkd  fbjwzq,"DKSEF;LJAIVURMWO,CQ/ZPX.'[",0.7847,0.0,1.0,1.0,1.0,0.9233246936755783
